  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 16:01:14	  -4.000	   96.76	 1013.33	   22.71	   0.375	  -1.963	  -0.184	   750.2	   1.193
       2	 16:04:18	  -2.000	   98.38	 1013.31	   22.91	   0.334	  -0.433	  -0.171	   750.1	   1.192
       3	 16:04:53	   0.000	   98.15	 1013.31	   22.91	   0.351	   1.370	  -0.157	   749.7	   1.192
       4	 16:05:33	   2.000	   97.51	 1013.33	   22.93	   0.406	   3.533	  -0.137	   750.1	   1.192
       5	 16:06:16	   4.000	   97.91	 1013.31	   22.95	   0.488	   5.296	  -0.137	   749.9	   1.192
       6	 16:06:48	   6.000	   97.44	 1013.31	   22.97	   0.610	   7.177	  -0.138	   749.9	   1.192
       7	 16:07:51	   8.000	   95.58	 1013.35	   23.00	   0.762	   8.889	  -0.154	   749.9	   1.192
       8	 16:08:53	   8.500	   98.25	 1013.33	   23.02	   0.827	   9.563	  -0.163	   750.2	   1.192
       9	 16:10:44	   9.000	   97.40	 1013.39	   23.07	   0.869	   9.868	  -0.166	   750.0	   1.192
      10	 16:11:13	   9.500	   96.01	 1013.39	   23.08	   0.911	  10.114	  -0.173	   750.6	   1.192
      11	 16:11:38	  10.000	   96.90	 1013.39	   23.09	   0.969	  10.519	  -0.183	   750.2	   1.192
      12	 16:12:02	  10.500	   98.39	 1013.39	   23.11	   1.033	  11.025	  -0.185	   750.4	   1.192
      13	 16:12:23	  11.000	   97.14	 1013.40	   23.12	   1.090	  11.145	  -0.200	   750.0	   1.192
      14	 16:12:43	  11.500	   98.08	 1013.41	   23.12	   1.151	  11.391	  -0.208	   750.1	   1.192
      15	 16:13:07	  12.000	   96.96	 1013.45	   23.13	   1.205	  11.473	  -0.219	   749.8	   1.192
      16	 16:13:40	  12.500	   95.66	 1013.40	   23.14	   1.275	  11.667	  -0.230	   749.9	   1.192
      17	 16:14:14	  13.000	   97.12	 1013.44	   23.15	   1.342	  11.840	  -0.237	   750.0	   1.192
